Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmr10.pfb|4.952
amsart|texmf-dist|tex|latex/base|latexsym.sty|4.924
amsart|texmf-dist|tex|latex/base|ulasy.fd|4.916
amsart|texmf-dist|fonts|tfm/public/latex-fonts|lasy5.tfm|4.902
amsart|texmf-dist|fonts|tfm/public/latex-fonts|lasy10.tfm|4.901
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy8.pfb|4.868
amsart|texmf-dist|fonts|tfm/public/latex-fonts|lasy8.tfm|4.863
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi10.pfb|4.854
article|texmf-dist|fonts|tfm/public/rsfs|rsfs10.tfm|4.853
article|texmf-dist|fonts|tfm/public/cm|cmbsy10.tfm|4.838
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmbx12.pfb|4.833
amsart|texmf-dist|fonts|tfm/public/amsfonts/euler|eufm5.tfm|4.825
article|texmf-dist|fonts|tfm/public/cm|cmmib10.tfm|4.791
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmr12.pfb|4.789
article|texmf-dist|fonts|tfm/public/rsfs|rsfs5.tfm|4.782
revtex4|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|4.742
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi8.pfb|4.736
revtex4|texmf-var|web2c|pdftex|latex.fmt|4.734
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmr8.pfb|4.732
article|texmf-dist|tex|latex/jknapltx|mathrsfs.sty|4.713
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi10.pfb|4.712
article|texmf-dist|tex|latex/jknapltx|ursfs.fd|4.710
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib5.tfm|4.664
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy5.tfm|4.651
revtex4|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|4.648
revtex4|texmf-dist|tex|latex/amsmath|amsgen.sty|4.622
revtex4|texmf-dist|tex|latex/amsmath|amsbsy.sty|4.618
revtex4|texmf-dist|tex|latex/amsmath|amstext.sty|4.610
article|texmf-dist|tex|latex/hyperref|nameref.sty|4.609
article|texmf-dist|tex|generic/oberdiek|gettitlestring.sty|4.609
article|texmf-dist|tex|latex/hyperref|pd1enc.def|4.606
article|texmf-dist|tex|latex/hyperref|hyperref.sty|4.606
article|texmf-dist|tex|latex/latexconfig|hyperref.cfg|4.606
revtex4|texmf-dist|tex|latex/amsmath|amsopn.sty|4.606
revtex4|texmf-dist|tex|latex/amsmath|amsmath.sty|4.606
amsart|texmf-dist|tex|latex/hyperref|nameref.sty|4.587
amsart|texmf-dist|tex|generic/oberdiek|gettitlestring.sty|4.585
amsart|texmf-dist|tex|latex/hyperref|hyperref.sty|4.584
amsart|texmf-dist|tex|latex/latexconfig|hyperref.cfg|4.584
amsart|texmf-dist|tex|latex/hyperref|pd1enc.def|4.584
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib7.tfm|4.560
article|texmf-dist|tex|latex/oberdiek|rerunfilecheck.sty|4.554
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy7.tfm|4.545
amsart|texmf-dist|tex|latex/oberdiek|rerunfilecheck.sty|4.500
svjour3|texmf-dist|fonts|map/fontname|texfonts.map|4.484
revtex4|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|4.477
revtex4|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|4.475
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmex10.pfb|4.473
revtex4|texmf-dist|tex|latex/amsfonts|amsfonts.sty|4.458
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmr12.pfb|4.425
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi8.pfb|4.422
revtex4|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|4.420
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmbx10.pfb|4.401
article|texmf-dist|fonts|type1/public/amsfonts/cm|cmr6.pfb|4.395
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib6.tfm|4.352
revtex4|texmf-dist|tex|latex/graphics|dvips.def|4.344
revtex4|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|4.342
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib8.tfm|4.334
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy6.tfm|4.323
revtex4|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|4.308
revtex4|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|4.308
revtex4|texmf-dist|tex|latex/amsfonts|umsb.fd|4.304
revtex4|texmf-dist|tex|latex/amsfonts|umsa.fd|4.304
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy8.tfm|4.301
amsart|texmf-dist|fonts|tfm/public/cm|cmti9.tfm|4.292
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmti10.pfb|4.291
revtex4|texmf-dist|tex|latex/amsfonts|amssymb.sty|4.285
elsarticle|texmf-dist|fonts|type1/public/amsfonts/cm|cmr7.pfb|4.277
svjour3|texmf-dist|tex|latex/graphics|keyval.sty|4.240
elsarticle|texmf-dist|fonts|tfm/public/latex-fonts|lasy6.tfm|4.220
svjour3|texmf-dist|tex|latex/graphics|trig.sty|4.213
svjour3|texmf-dist|tex|latex/graphics|graphics.sty|4.201
