First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrary3d.code.tex|0.052
texmf-dist|tex|latex/lineno|fnlineno.sty|0.052
texmf-dist|fonts|tfm/public/txfonts|txsssl.tfm|0.052
texmf-dist|tex|latex/tools|thb.sty|0.050
texmf-dist|fonts|tfm/public/amsfonts/euler|eurm9.tfm|0.050
texmf-dist|tex|latex/lettrine|lettrine.cfg|0.050
texmf-dist|fonts|tfm/public/ae|aebxti10.tfm|0.050
texmf-dist|tex|latex/pxfonts|omspxr.fd|0.050
texmf-dist|fonts|tfm/public/mathpazo|fplmb.tfm|0.050
texmf-dist|tex|generic/babel|lgrenc.def|0.050
texmf-dist|fonts|type1/public/mathabx-type1|mathx10.pfb|0.050
texmf-dist|fonts|type1/public/amsfonts/cmextra|cmbsy6.pfb|0.050
texmf-dist|tex|latex/ncctools|nccmath.sty|0.050
texmf-dist|fonts|tfm/adobe/helvetic|phvb8t.tfm|0.050
texmf-dist|fonts|tfm/public/txfonts|rtcxr.tfm|0.050
texmf-dist|fonts|type1/public/amsfonts/symbols|msam5.pfb|0.050
texmf-dist|fonts|vf/public/txfonts|tcxr.vf|0.050
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarydecorations.text.code.tex|0.049
texmf-dist|fonts|tfm/public/shuffle|shuffle10.tfm|0.049
texmf-dist|tex|latex/mcite|mcite.sty|0.049
texmf-dist|tex|latex/tkz-graph|tkz-graph.sty|0.049
